Feature,Importance
student_id_STU03002,0.0007200589305487383
student_id_STU06321,0.0007113465747574701
student_id_STU01098,0.000707692378752783
student_id_STU08821,0.0007066778194369149
student_id_STU08257,0.0006983471081451927
student_id_STU03017,0.0006939995283096472
student_id_STU05200,0.0006926980461229422
student_id_STU05921,0.000692461301586431
student_id_STU06931,0.0006921821224360565
student_id_STU06373,0.0006915262304203545
student_id_STU00524,0.0006894360414490194
student_id_STU07481,0.0006839660117838679
student_id_STU02129,0.0006825057073172296
student_id_STU06194,0.0006770878691881738
student_id_STU09227,0.0006716467681013039
student_id_STU08920,0.000671519002814194
student_id_STU05502,0.0006675576448709758
student_id_STU05781,0.0006664048258569409
student_id_STU01380,0.0006646053619942188
student_id_STU09244,0.0006607634136353733
student_id_STU01218,0.0006596805665902815
student_id_STU07171,0.0006573885847203153
student_id_STU05536,0.0006569248395895483
student_id_STU05400,0.0006515572243582876
student_id_STU00430,0.0006487893615938804
student_id_STU08298,0.0006459722371177972
student_id_STU09894,0.0006444317154935959
student_id_STU09582,0.0006434935499719192
student_id_STU05872,0.0006391473870369954
student_id_STU09612,0.0006369147908288121
student_id_STU04848,0.0006231878510495915
student_id_STU00935,0.0006183473769946732
student_id_STU04598,0.0006176785136258686
student_id_STU09339,0.0006155914957248842
student_id_STU03973,0.0006148655352470561
student_id_STU09367,0.0006125118449770113
student_id_STU08793,0.0006115089186240638
student_id_STU01770,0.0006056528093023305
student_id_STU03697,0.0006017806720311365
student_id_STU07846,0.0005978707827781088
student_id_STU03043,0.0005972595295399583
student_id_STU01349,0.0005941107733108376
student_id_STU01282,0.0005912864952259429
student_id_STU03816,0.0005902177899903164
student_id_STU02720,0.0005900029024056598
student_id_STU00595,0.0005893104338677484
student_id_STU07752,0.0005879147721750356
student_id_STU03114,0.0005850631760315478
student_id_STU09723,0.0005841974964180548
student_id_STU08365,0.000583695048878508
student_id_STU03911,0.0005818204718576799
student_id_STU01029,0.0005817945623945846
student_id_STU08066,0.0005797554405151896
student_id_STU09112,0.0005773409080547574
student_id_STU08999,0.0005705341247410493
student_id_STU03792,0.0005696337460893757
student_id_STU07893,0.0005692466147619117
student_id_STU09293,0.0005674480487727873
student_id_STU09405,0.0005663961003760006
student_id_STU01368,0.0005656822372820749
student_id_STU03577,0.0005609342949871667
student_id_STU03170,0.0005604710208200213
student_id_STU00417,0.0005604365746608454
student_id_STU08068,0.0005603310783761277
student_id_STU07412,0.0005573105125229998
student_id_STU04810,0.0005552727493108244
student_id_STU07399,0.0005545985921829426
student_id_STU02389,0.0005545862975075915
student_id_STU03035,0.0005544745330929149
student_id_STU01972,0.0005536644220178644
student_id_STU06357,0.0005532382249304067
student_id_STU02424,0.0005508373435306681
student_id_STU02993,0.0005500374739988043
student_id_STU06004,0.0005465234559611749
student_id_STU06256,0.0005456914953057665
student_id_STU09075,0.0005455256214422823
student_id_STU03902,0.0005436829226985769
student_id_STU04817,0.0005375775722841652
student_id_STU00273,0.0005369109043553541
student_id_STU04286,0.000535523714503601
student_id_STU08913,0.0005348935405523358
student_id_STU09920,0.0005341193995441139
student_id_STU04637,0.0005328614896601344
student_id_STU01775,0.000532224456536922
